route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,jp_parent_route_id
10166,8000020041009,866,,,3,,A3D742,050505,
10168,8000020041009,870,,,3,,A3D742,050505,
10169,8000020041009,875,,,3,,A3D742,050505,
10170,8000020041009,876,,,3,,A3D742,050505,
10171,8000020041009,877,,,3,,A3D742,050505,
10172,8000020041009,878,,,3,,A3D742,050505,
10173,8000020041009,88,,,3,,A3D742,050505,
10174,8000020041009,880,,,3,,A3D742,050505,
10175,8000020041009,888,,,3,,A3D742,050505,
10176,8000020041009,890,,,3,,A3D742,050505,
10177,8000020041009,899,,,3,,A3D742,050505,
10178,8000020041009,900,,,3,,A3D742,050505,
10179,8000020041009,901,,,3,,A3D742,050505,
10180,8000020041009,902,,,3,,A3D742,050505,
10181,8000020041009,904,,,3,,A3D742,050505,
10182,8000020041009,905,,,3,,A3D742,050505,
10183,8000020041009,908,,,3,,A3D742,050505,
10184,8000020041009,910,,,3,,A3D742,050505,
10185,8000020041009,911,,,3,,A3D742,050505,
10186,8000020041009,917,,,3,,A3D742,050505,
10187,8000020041009,918,,,3,,A3D742,050505,
10188,8000020041009,923,,,3,,A3D742,050505,
10189,8000020041009,925,,,3,,A3D742,050505,
10190,8000020041009,926,,,3,,A3D742,050505,
10191,8000020041009,990,,,3,,A3D742,050505,
10192,8000020041009,999,,,3,,A3D742,050505,
10193,8000020041009,A120,,,3,,A3D742,050505,
10194,8000020041009,A220,,,3,,A3D742,050505,
10195,8000020041009,A50,,,3,,A3D742,050505,
10196,8000020041009,A50,,,3,,A3D742,050505,
10197,8000020041009,A51,,,3,,A3D742,050505,
10198,8000020041009,A53,,,3,,A3D742,050505,
10199,8000020041009,A53,,,3,,A3D742,050505,
10200,8000020041009,B10,,,3,,A3D742,050505,
10201,8000020041009,B15,,,3,,A3D742,050505,
10202,8000020041009,B40,,,3,,A3D742,050505,
10203,8000020041009,D130,,,3,,A3D742,050505,
10204,8000020041009,D50,,,3,,A3D742,050505,
10205,8000020041009,D51,,,3,,A3D742,050505,
10206,8000020041009,D53,,,3,,A3D742,050505,
10207,8000020041009,D55,,,3,,A3D742,050505,
10208,8000020041009,D55,,,3,,A3D742,050505,
10209,8000020041009,H55,,,3,,A3D742,050505,
10210,8000020041009,J200,,,3,,A3D742,050505,
10211,8000020041009,J205,,,3,,A3D742,050505,
10212,8000020041009,J220,,,3,,A3D742,050505,
10213,8000020041009,J230,,,3,,A3D742,050505,
10214,8000020041009,J233,,,3,,A3D742,050505,
10215,8000020041009,J240,,,3,,A3D742,050505,
10216,8000020041009,J308,,,3,,A3D742,050505,
10217,8000020041009,J320,,,3,,A3D742,050505,
10218,8000020041009,J411,,,3,,A3D742,050505,
10220,8000020041009,J413,,,3,,A3D742,050505,
10223,8000020041009,J450,,,3,,A3D742,050505,
10224,8000020041009,J470,,,3,,A3D742,050505,
10225,8000020041009,J701,,,3,,A3D742,050505,
10226,8000020041009,J704,,,3,,A3D742,050505,
10227,8000020041009,J706,,,3,,A3D742,050505,
10228,8000020041009,K210,,,3,,A3D742,050505,
10229,8000020041009,K211,,,3,,A3D742,050505,
10230,8000020041009,K215,,,3,,A3D742,050505,
10231,8000020041009,K500,,,3,,A3D742,050505,
10232,8000020041009,K506,,,3,,A3D742,050505,
10233,8000020041009,K512,,,3,,A3D742,050505,
10234,8000020041009,K516,,,3,,A3D742,050505,
10235,8000020041009,K535,,,3,,A3D742,050505,
10236,8000020041009,K540,,,3,,A3D742,050505,
10237,8000020041009,K545,,,3,,A3D742,050505,
10238,8000020041009,K560,,,3,,A3D742,050505,
10239,8000020041009,K601,,,3,,A3D742,050505,
10240,8000020041009,K610,,,3,,A3D742,050505,
10241,8000020041009,M20,,,3,,A3D742,050505,
10242,8000020041009,M40,,,3,,A3D742,050505,
10243,8000020041009,M70,,,3,,A3D742,050505,
10244,8000020041009,N10,,,3,,A3D742,050505,
10245,8000020041009,N15,,,3,,A3D742,050505,
10246,8000020041009,N40,,,3,,A3D742,050505,
